model_name,Accuracy,Accuracy_std,Error,Error_std
NN_04_Compact_Logistic_LBFGS,0.786231884057971,0.10661505081892333,0.213768115942029,0.10661505081892333
NN_01_Shallow_ReLU_Adam,0.7094202898550724,0.11639827576529739,0.29057971014492756,0.11639827576529739
NN_05_Tanh_SGD_MomentumLike,0.5891304347826087,0.09250135531515023,0.4108695652173913,0.09250135531515023
NN_03_Wide_Tanh_Adam,0.530072463768116,0.15373807913274232,0.469927536231884,0.15373807913274234
NN_02_Deep_ReLU_Adam,0.5130434782608696,0.13345929777647927,0.48695652173913045,0.1334592977764793
